,Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,Datum_1_Interview,Datum_2_Interview,Datum_3_Interview,Datum_4_Interview,V1,V01,V2,V3,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V10,V11,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V13,V14,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,V19_2_Interview,V19_3_Interview,V19_4_Interview,V20_2_Interview,V20_3_Interview,V20_4_Interview,V21_2_Interview,V21_3_Interview,V21_4_Interview,Miss_row_%,Days_Between_2_and_1_Interview,Days_Between_3_and_2_Interview,Days_Between_4_and_3_Interview
2587,P2__80__7,P2__80,2018-03-18 00:00:00,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-10 00:00:00,Shpock,466.0,1.0,1.0,2.0,3.0,2.0,2.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10,10.0,8.0,10.0,10.0,10.0,3.0,3.0,3.0,7.0,7.0,7.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,28.0,28.0,28.0
2588,P3__81__7,P3__81,2018-03-18 00:00:00,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-10 00:00:00,Monster.de,348.0,1.0,1.0,3.0,4.0,3.0,3.0,7.0,7.0,7.0,7.0,1.0,5.0,7.0,7.0,7.0,7,10.0,8.0,10.0,10.0,10.0,3.0,3.0,3.0,4.0,4.0,4.0,10.0,10,10.0,7.0,7.0,7.0,3.6363636363636402,28.0,28.0,28.0
2589,P4__82__7,P4__82,2018-03-19 00:00:00,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-10 00:00:00,Facebook-Messenger,172.0,1.0,1.0,4.0,3.0,4.0,4.0,10.0,10.0,10.0,10.0,1.0,1.0,5.0,6.0,6.0,6,5.0,5.0,10.0,10.0,10.0,5.0,5.0,5.0,4.0,4.0,4.0,10.0,10,10.0,6.0,6.0,6.0,5.454545454545453,27.0,28.0,28.0
2590,P5__83__7,P5__83,2018-03-19 00:00:00,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-10 00:00:00,Youtube,613.0,2.0,1.0,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0,1.0,1.0,5.0,6.0,6.0,6,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,10,10.0,6.0,6.0,6.0,3.6363636363636402,27.0,28.0,28.0
2594,TK__87__7,TK__87,2018-03-15 00:00:00,2018-04-17 00:00:00,2018-05-18 00:00:00,2018-05-19 00:00:00,Facebook,170.0,2.0,1.0,1.0,3.0,2.0,1.0,8.0,5.0,4.0,5.0,1.0,1.0,5.0,3.0,2.0,3,10.0,2.0,9.0,9.0,8.0,6.0,7.0,8.0,4.0,3.0,1.0,5.0,4,4.0,2.0,3.0,2.0,3.6363636363636402,33.0,31.0,1.0
2595,KH__88__7,KH__88,2018-03-16 00:00:00,2018-04-17 00:00:00,2018-05-18 00:00:00,2018-05-19 00:00:00,Paypal,393.0,1.0,1.0,6.0,7.0,3.0,3.0,5.0,9.0,7.0,5.0,1.0,1.0,9.0,7.0,7.0,8,10.0,9.0,2.0,3.0,4.0,1.0,1.0,4.0,7.0,7.0,7.0,7.0,8,7.0,9.0,8.0,8.0,5.454545454545453,32.0,31.0,1.0
2601,KK1808__94__7,KK1808__94,2018-03-14 00:00:00,2018-04-12 00:00:00,2018-05-12 00:00:00,2018-06-19 00:00:00,Kickbase,291.0,2.0,2.0,1.0,1.0,1.0,1.0,10.0,7.0,8.0,8.0,10.0,7.0,10.0,9.0,9.0,9,10.0,10.0,6.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,10,10.0,4.0,6.0,6.0,5.454545454545453,29.0,30.0,38.0
2602,SR1807__95__7,SR1807__95,2018-03-15 00:00:00,2018-04-13 00:00:00,2018-05-12 00:00:00,2018-06-19 00:00:00,YouTube,613.0,2.0,1.0,1.0,5.0,1.0,1.0,7.0,6.0,8.0,6.0,1.0,1.0,9.0,9.0,9.0,10,10.0,10.0,1.0,7.0,2.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,29.0,29.0,38.0
2603,FT2311__96__7,FT2311__96,2018-03-17 00:00:00,2018-04-14 00:00:00,2018-05-12 00:00:00,2018-06-19 00:00:00,GMX Mail,222.0,1.0,1.0,6.0,7.0,5.0,6.0,10.0,9.0,10.0,5.0,1.0,1.0,2.0,1.0,5.0,8,7.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,10.0,5.0,10.0,5,10.0,8.0,10.0,8.0,7.2727272727272805,28.0,28.0,38.0
2605,JL2803__98__7,JL2803__98,2018-03-17 00:00:00,2018-04-14 00:00:00,2018-05-12 00:00:00,2018-06-19 00:00:00,Whatsapp,598.0,2.0,2.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,8.0,1.0,1.0,9.0,9.0,10.0,8,10.0,10.0,10.0,10.0,10.0,6.0,3.0,3.0,10.0,10.0,9.0,10.0,10,10.0,9.0,10.0,7.0,5.454545454545453,28.0,28.0,38.0
