Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
ML_1__28__4,ML_1__28,2.0,2.0,1.0,2.0,,9.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,1.0,1.0,,3
ML_2__29__4,ML_2__29,2.0,4.0,4.0,4.0,,7.0,9.0,8.0,,8.0,8.0,9.0,,10.0,10.0,,3.0,3.0,,3
ML_3__30__4,ML_3__30,1.0,5.0,4.0,5.0,,6.0,6.0,6.0,,7.0,7.0,7.0,,5.0,6.0,,6.0,6.0,,3
ML_4__31__4,ML_4__31,2.0,4.0,5.0,6.0,,9.0,8.0,8.0,,10.0,10.0,10.0,,8.0,9.0,,1.0,1.0,,3
ML_5__32__4,ML_5__32,1.0,2.0,3.0,2.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
ML_6__33__4,ML_6__33,1.0,1.0,1.0,1.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,9.0,9.0,,3
SE911__69__4,SE911__69,1.0,4.0,5.0,5.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,5.0,6.0,,5.0,6.0,,3
MH69__70__4,MH69__70,1.0,5.0,5.0,4.0,,10.0,7.0,7.0,,8.0,8.0,10.0,,8.0,8.0,,5.0,5.0,,3
SK1__71__4,SK1__71,2.0,6.0,2.0,2.0,,8.0,10.0,10.0,,7.0,10.0,10.0,,7.0,8.0,,3.0,5.0,,3
TCB94__72__4,TCB94__72,1.0,3.0,4.0,3.0,,5.0,8.0,7.0,,7.0,8.0,10.0,,5.0,8.0,,10.0,10.0,,3
CH86__73__4,CH86__73,1.0,3.0,2.0,2.0,,10.0,10.0,9.0,,10.0,10.0,10.0,,5.0,6.0,,5.0,6.0,,3
TN_1__232__4,TN_1__232,1.0,3.0,3.0,3.0,,10.0,10.0,10.0,,10.0,9.0,8.0,,1.0,1.0,,1.0,1.0,,3
PB5__273__4,PB5__273,2.0,1.0,2.0,1.0,,10.0,5.0,5.0,,10.0,8.0,8.0,,10.0,10.0,,10.0,10.0,,3
