Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,Datum_1_Interview,Datum_2_Interview,Datum_3_Interview,Datum_4_Interview,V1,V01,V2,V3,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V10,V11,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V13,V14,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,V19_2_Interview,V19_3_Interview,V19_4_Interview,V20_2_Interview,V20_3_Interview,V20_4_Interview,V21_2_Interview,V21_3_Interview,V21_4_Interview,Miss_row_%,Days_Between_2_and_1_Interview,Days_Between_3_and_2_Interview,Days_Between_4_and_3_Interview,D4_2_1,D4_3_2,D4_4_3,D4_4_1,D6_2_1,D6_3_2,D6_4_3,D6_4_1,D12_2_1,D12_3_2,D12_4_3,D12_4_1
SL_2__290__3,SL_2__290,2018-03-30 00:00:00,2018-05-02 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,Bring,82.0,1.0,1.0,3.0,3.0,3.0,7.0,3.0,9.0,7.0,8.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,2.0,1.0,9.0,9.0,10.0,10.0,10,10.0,8.0,10.0,10.0,5.454545454545453,33.0,30.0,30.0,0.0,0.0,4.0,4.0,6.0,-2.0,1.0,5.0,0.0,0.0,0.0,0.0
SL_4__292__3,SL_4__292,2018-04-15 00:00:00,2018-05-15 00:00:00,2018-06-07 00:00:00,2018-07-05 00:00:00,Maps,326.0,1.0,1.0,6.0,5.0,5.0,2.0,5.0,6.0,6.0,7.0,1.0,1.0,9.0,9.0,9.0,9.0,10.0,8.0,2.0,2.0,2.0,4.0,4.0,4.0,8.0,8.0,9.0,9.0,10,10.0,8.0,8.0,8.0,5.454545454545453,30.0,23.0,28.0,-1.0,0.0,-3.0,-4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
SN__294__3,SN__294,2018-04-08 00:00:00,2018-05-08 00:00:00,2018-06-05 00:00:00,2018-07-03 00:00:00,Ebay Kleinanzeigen,155.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,6.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,7.0,10.0,8.0,8.0,7.0,7.0,5.0,5.0,4.0,6.0,8.0,8.0,10.0,8,10.0,6.0,8.0,8.0,5.454545454545453,30.0,28.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,-1.0,-1.0
AN__295__3,AN__295,2018-04-08 00:00:00,2018-05-08 00:00:00,2018-06-05 00:00:00,2018-07-03 00:00:00,Wetter,594.0,1.0,1.0,3.0,3.0,2.0,5.0,3.0,7.0,5.0,5.0,1.0,1.0,8.0,9.0,8.0,8.0,10.0,10.0,5.0,8.0,9.0,1.0,1.0,1.0,9.0,8.0,9.0,10.0,10,10.0,10.0,7.0,8.0,5.454545454545453,30.0,28.0,28.0,0.0,-1.0,3.0,2.0,4.0,-2.0,0.0,2.0,1.0,-1.0,0.0,0.0
CK__296__3,CK__296,2018-04-15 00:00:00,2018-05-14 00:00:00,2018-06-08 00:00:00,2018-07-06 00:00:00,Facebook,170.0,2.0,1.0,2.0,2.0,2.0,5.0,6.0,7.0,6.0,6.0,5.0,2.0,2.0,5.0,6.0,3.0,9.0,3.0,8.0,8.0,4.0,8.0,6.0,4.0,4.0,6.0,3.0,9.0,9,6.0,6.0,6.0,4.0,3.6363636363636402,29.0,25.0,28.0,0.0,0.0,3.0,3.0,1.0,-1.0,0.0,0.0,3.0,1.0,-3.0,1.0
TB__297__3,TB__297,2018-04-11 00:00:00,2018-05-11 00:00:00,2018-06-08 00:00:00,2018-07-06 00:00:00,Wetter,594.0,1.0,1.0,3.0,3.0,2.0,2.0,7.0,5.0,7.0,8.0,1.0,1.0,5.0,10.0,5.0,8.0,10.0,8.0,5.0,5.0,2.0,1.0,1.0,1.0,10.0,5.0,10.0,6.0,10,10.0,10.0,7.0,9.0,5.454545454545453,30.0,28.0,28.0,0.0,-1.0,0.0,-1.0,-2.0,2.0,1.0,1.0,5.0,-5.0,3.0,3.0
AS__298__3,AS__298,2018-04-08 00:00:00,2018-05-08 00:00:00,2018-06-05 00:00:00,2018-07-03 00:00:00,Snapchat,485.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,9.0,9.0,8.0,1.0,1.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,10,10.0,7.0,8.0,6.0,1.818181818181813,30.0,28.0,28.0,0.0,0.0,6.0,6.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0
HL_1__299__3,HL_1__299,2018-04-12 00:00:00,2018-05-12 00:00:00,2018-06-09 00:00:00,2018-07-08 00:00:00,Promiflash,420.0,2.0,1.0,1.0,1.0,2.0,2.0,9.0,9.0,9.0,9.0,1.0,1.0,7.0,6.0,6.0,6.0,10.0,6.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,6.0,6.0,10.0,10,10.0,10.0,8.0,7.0,5.454545454545453,30.0,28.0,29.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
HL_2__300__3,HL_2__300,2018-04-13 00:00:00,2018-05-10 00:00:00,2018-06-10 00:00:00,2018-07-11 00:00:00,Whatsapp,598.0,2.0,1.0,1.0,1.0,1.0,5.0,10.0,7.0,5.0,4.0,1.0,1.0,9.0,6.0,7.0,7.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,6.0,5.0,9.0,8,8.0,9.0,7.0,8.0,3.6363636363636402,27.0,31.0,31.0,0.0,0.0,4.0,4.0,-3.0,-2.0,-1.0,-6.0,-3.0,1.0,0.0,-2.0
HL_3__301__3,HL_3__301,2018-04-13 00:00:00,2018-05-12 00:00:00,2018-06-09 00:00:00,2018-07-11 00:00:00,Whatsapp,598.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,5.0,5.0,1.0,3.0,6.0,6.0,7.0,7.0,10.0,3.0,8.0,7.0,8.0,3.0,5.0,4.0,5.0,7.0,7.0,10.0,10,9.0,7.0,7.0,9.0,3.6363636363636402,29.0,28.0,32.0,0.0,0.0,1.0,1.0,3.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0
HL_4__302__3,HL_4__302,2018-04-15 00:00:00,2018-05-12 00:00:00,2018-06-08 00:00:00,2018-07-07 00:00:00,Whatsapp,598.0,1.0,1.0,1.0,1.0,1.0,5.0,10.0,8.0,10.0,10.0,8.0,1.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,7.0,5.0,4.0,4.0,4.0,8.0,8.0,10.0,10.0,10,10.0,8.0,10.0,10.0,3.6363636363636402,27.0,27.0,29.0,0.0,0.0,4.0,4.0,-2.0,2.0,0.0,0.0,-2.0,0.0,1.0,-1.0
HL_5__303__3,HL_5__303,2018-04-16 00:00:00,2018-05-15 00:00:00,2018-06-10 00:00:00,2018-07-08 00:00:00,NTV,373.0,2.0,1.0,5.0,5.0,5.0,2.0,7.0,8.0,6.0,9.0,5.0,1.0,7.0,7.0,6.0,10.0,10.0,9.0,1.0,5.0,8.0,1.0,1.0,6.0,8.0,5.0,10.0,8.0,6,7.0,8.0,5.0,6.0,5.454545454545453,29.0,26.0,28.0,0.0,0.0,-3.0,-3.0,1.0,-2.0,3.0,2.0,0.0,-1.0,4.0,3.0
HL_1__304__3,HL_1__304,2018-04-13 00:00:00,2018-05-16 00:00:00,2018-06-10 00:00:00,2018-07-10 00:00:00,Files United,790.0,1.0,1.0,5.0,5.0,4.0,2.0,5.0,7.0,8.0,8.0,1.0,1.0,7.0,8.0,10.0,10.0,10.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,33.0,25.0,30.0,0.0,-1.0,-2.0,-3.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0
HL_4__307__3,HL_4__307,2018-04-13 00:00:00,2018-05-16 00:00:00,2018-06-10 00:00:00,2018-07-10 00:00:00,GMX,854.0,1.0,1.0,2.0,3.0,3.0,2.0,5.0,6.0,8.0,8.0,1.0,1.0,7.0,7.0,10.0,10.0,10.0,7.0,2.0,10.0,10.0,1.0,1.0,1.0,8.0,8.0,8.0,10.0,7,7.0,8.0,8.0,8.0,5.454545454545453,33.0,25.0,30.0,1.0,0.0,-1.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0
HL_5__308__3,HL_5__308,2018-04-13 00:00:00,2018-05-16 00:00:00,2018-06-10 00:00:00,2018-07-10 00:00:00,Komoot,301.0,1.0,2.0,3.0,1.0,5.0,5.0,5.0,10.0,7.0,7.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,9.0,1.0,1.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,33.0,25.0,30.0,-2.0,4.0,0.0,2.0,5.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0
C__309__3,C__309,2018-04-04 00:00:00,2018-05-15 00:00:00,2018-06-08 00:00:00,2018-06-08 00:00:00,Groupon,238.0,1.0,1.0,6.0,7.0,7.0,7.0,9.0,4.0,5.0,2.0,1.0,1.0,10.0,8.0,7.0,7.0,10.0,5.0,1.0,1.0,1.0,3.0,1.0,4.0,8.0,6.0,8.0,5.0,7,7.0,5.0,1.0,4.0,5.454545454545453,41.0,24.0,0.0,1.0,0.0,0.0,1.0,-5.0,1.0,-3.0,-7.0,-2.0,-1.0,0.0,-3.0
H__310__3,H__310,2018-04-15 00:00:00,2018-05-15 00:00:00,2018-06-09 00:00:00,2018-06-09 00:00:00,Spotify,505.0,2.0,1.0,3.0,3.0,6.0,4.0,2.0,7.0,6.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,8.0,5.0,5.0,6.0,8.0,7.0,8.0,7.0,6.0,6.0,10.0,7,8.0,8.0,6.0,7.0,3.6363636363636402,30.0,25.0,0.0,0.0,3.0,-2.0,1.0,5.0,-1.0,1.0,5.0,0.0,0.0,0.0,0.0
A__312__3,A__312,2018-04-16 00:00:00,2018-05-15 00:00:00,2018-06-08 00:00:00,2018-06-08 00:00:00,Threema,533.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,8.0,8.0,8.0,10.0,10.0,8.0,2.0,10.0,3.0,2.0,1.0,2.0,8.0,10.0,10.0,10.0,10,10.0,3.0,4.0,7.0,3.6363636363636402,29.0,24.0,0.0,0.0,1.0,-2.0,-1.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0
V__313__3,V__313,2018-04-13 00:00:00,2018-05-15 00:00:00,2018-06-09 00:00:00,2018-06-09 00:00:00,Facebook,170.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,8.0,10.0,9.0,1.0,1.0,7.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10,10.0,6.0,6.0,6.0,7.2727272727272805,32.0,25.0,0.0,-1.0,0.0,1.0,0.0,2.0,2.0,-1.0,3.0,3.0,0.0,-1.0,2.0
LB_1__314__3,LB_1__314,2018-04-16 00:00:00,2018-05-16 00:00:00,2018-06-08 00:00:00,2018-06-08 00:00:00,Flash Score,192.0,1.0,1.0,3.0,4.0,3.0,4.0,9.0,7.0,8.0,9.0,1.0,1.0,10.0,10.0,8.0,10.0,10.0,10.0,5.0,1.0,5.0,1.0,1.0,5.0,10.0,9.0,10.0,10.0,10,10.0,10.0,9.0,10.0,5.454545454545453,30.0,23.0,0.0,1.0,-1.0,1.0,1.0,-2.0,1.0,1.0,0.0,0.0,-2.0,2.0,0.0
LB_2__315__3,LB_2__315,2018-04-16 00:00:00,2018-05-16 00:00:00,2018-06-08 00:00:00,2018-06-08 00:00:00,Snapchat,485.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,7.2727272727272805,30.0,23.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
LB_4__317__3,LB_4__317,2018-04-16 00:00:00,2018-05-16 00:00:00,2018-06-08 00:00:00,2018-06-08 00:00:00,Spox,506.0,2.0,1.0,1.0,5.0,1.0,5.0,8.0,2.0,8.0,5.0,1.0,1.0,7.0,8.0,7.0,8.0,9.0,7.0,2.0,9.0,9.0,5.0,8.0,7.0,10.0,9.0,9.0,10.0,9,10.0,10.0,8.0,7.0,5.454545454545453,30.0,23.0,0.0,4.0,-4.0,4.0,4.0,-6.0,6.0,-3.0,-3.0,1.0,-1.0,1.0,1.0
LB_5__318__3,LB_5__318,2018-04-16 00:00:00,2018-05-16 00:00:00,2018-06-08 00:00:00,2018-06-08 00:00:00,Snapchat,485.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,8.0,8.0,1.0,1.0,6.0,8.0,8.0,10.0,10.0,5.0,10.0,10.0,10.0,5.0,8.0,10.0,10.0,10.0,10.0,10.0,10,10.0,10.0,5.0,5.0,5.454545454545453,30.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,4.0
XW01__319__3,XW01__319,2018-04-16 00:00:00,2018-05-15 00:00:00,2018-06-11 00:00:00,2018-06-11 00:00:00,Spotify,505.0,2.0,1.0,4.0,6.0,7.0,4.0,10.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,7.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,3.6363636363636402,29.0,27.0,0.0,2.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XY01__320__3,XY01__320,2018-04-15 00:00:00,2018-05-15 00:00:00,2018-06-11 00:00:00,2018-06-11 00:00:00,Ebay Kleinanzeigen,155.0,2.0,1.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,7.0,2.0,2.0,8.0,8.0,9.0,9.0,10.0,6.0,5.0,5.0,6.0,1.0,1.0,1.0,6.0,5.0,6.0,10.0,10,10.0,10.0,1.0,1.0,5.454545454545453,30.0,27.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
YZ01__321__3,YZ01__321,2018-04-15 00:00:00,2018-05-15 00:00:00,2018-06-11 00:00:00,2018-06-11 00:00:00,Wetter XL,990.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,1.0,1.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,7.0,8.0,7.0,5.0,5,5.0,5.0,6.0,7.0,5.454545454545453,30.0,27.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,1.0,-2.0,2.0,0.0,0.0,2.0
TR_1__324__3,TR_1__324,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-12 00:00:00,2018-07-09 00:00:00,Chrome,229.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,8.0,7.0,7.0,1.0,1.0,8.0,8.0,9.0,8.0,10.0,8.0,8.0,9.0,9.0,2.0,8.0,5.0,9.0,9.0,8.0,10.0,9,9.0,8.0,9.0,8.0,5.454545454545453,28.0,30.0,27.0,0.0,0.0,4.0,4.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0
TR_2__325__3,TR_2__325,2018-04-13 00:00:00,2018-05-12 00:00:00,2018-06-11 00:00:00,2018-07-11 00:00:00,Quizduell,427.0,2.0,1.0,3.0,7.0,7.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,9.0,10.0,10.0,8.0,10.0,9.0,4.0,5.0,5.0,7.0,8.0,10.0,10.0,10.0,10.0,7.0,6,10.0,1.0,2.0,5.0,5.454545454545453,29.0,30.0,30.0,4.0,0.0,-3.0,1.0,-4.0,0.0,4.0,0.0,1.0,0.0,-2.0,-1.0
TR_3__326__3,TR_3__326,2018-04-02 00:00:00,2018-04-30 00:00:00,2018-06-03 00:00:00,2018-07-04 00:00:00,Amazon,27.0,1.0,1.0,3.0,3.0,2.0,2.0,7.0,5.0,5.0,5.0,1.0,1.0,10.0,8.0,6.0,7.0,10.0,10.0,1.0,1.0,1.0,1.0,9.0,10.0,9.0,8.0,8.0,10.0,10,10.0,9.0,8.0,9.0,5.454545454545453,28.0,34.0,31.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,1.0,-3.0
TR_5__328__3,TR_5__328,2018-04-02 00:00:00,2018-04-30 00:00:00,2018-06-03 00:00:00,2018-07-04 00:00:00,Jodel,279.0,2.0,1.0,1.0,1.0,2.0,2.0,7.0,8.0,8.0,9.0,1.0,1.0,8.0,7.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,7.0,8.0,7.0,7.0,8.0,8.0,10.0,8,9.0,6.0,5.0,4.0,5.454545454545453,28.0,34.0,31.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,-1.0
J__329__3,J__329,2018-04-06 00:00:00,2018-05-15 00:00:00,2018-06-10 00:00:00,2018-07-10 00:00:00,Amazon,27.0,1.0,1.0,3.0,4.0,5.0,2.0,6.0,6.0,6.0,4.0,1.0,1.0,9.0,8.0,6.0,8.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,9.0,9.0,8.0,7.0,5,9.0,8.0,5.0,8.0,5.454545454545453,39.0,26.0,30.0,1.0,1.0,-3.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,-2.0,2.0,-1.0
N__330__3,N__330,2018-04-04 00:00:00,2018-05-15 00:00:00,2018-06-09 00:00:00,2018-07-07 00:00:00,Snapchat,485.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10,10.0,4.0,4.0,4.0,5.454545454545453,41.0,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V__331__3,V__331,2018-04-14 00:00:00,2018-05-12 00:00:00,2018-06-06 00:00:00,2018-07-06 00:00:00,Amazon music,30.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,6.0,7.0,1.0,1.0,8.0,10.0,10.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,28.0,25.0,30.0,1.0,0.0,3.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0
R__332__3,R__332,2018-04-15 00:00:00,2018-05-13 00:00:00,2018-06-09 00:00:00,2018-07-07 00:00:00,Google Maps,234.0,1.0,1.0,5.0,5.0,5.0,2.0,8.0,8.0,8.0,8.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,10,10.0,8.0,8.0,8.0,3.6363636363636402,28.0,27.0,28.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK_1__334__3,MK_1__334,2018-04-05 00:00:00,2018-05-14 00:00:00,2018-06-04 00:00:00,2018-07-06 00:00:00,Runtastic,449.0,1.0,1.0,7.0,7.0,7.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10,10.0,1.0,1.0,1.0,7.2727272727272805,39.0,21.0,32.0,0.0,0.0,-3.0,-3.0,-9.0,0.0,0.0,-9.0,-9.0,0.0,0.0,-9.0
MK_2__335__3,MK_2__335,2018-04-11 00:00:00,2018-05-14 00:00:00,2018-06-04 00:00:00,2018-07-05 00:00:00,Telegram,527.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,7.0,10.0,10.0,9.0,7.0,1.0,1.0,1.0,10.0,5.0,5.0,5.0,8.0,8.0,10.0,5.0,5,10.0,5.0,5.0,10.0,5.454545454545453,33.0,21.0,31.0,-1.0,0.0,0.0,-1.0,-4.0,0.0,3.0,-1.0,3.0,0.0,-1.0,2.0
MK_4__337__3,MK_4__337,2018-04-17 00:00:00,2018-05-18 00:00:00,2018-06-05 00:00:00,2018-07-10 00:00:00,Web.de,588.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,7.0,7.0,7.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,31.0,18.0,35.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
MK_5__338__3,MK_5__338,2018-04-17 00:00:00,2018-05-15 00:00:00,2018-06-10 00:00:00,2018-07-11 00:00:00,Instagram,272.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,7.0,7.0,7.0,1.0,1.0,6.0,6.0,6.0,6.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,28.0,26.0,31.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS_2__340__3,CS_2__340,2018-04-08 00:00:00,2018-05-10 00:00:00,2018-05-10 00:00:00,2018-07-06 00:00:00,Instagram,272.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,9.0,9.0,9.0,2.0,1.0,5.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0,10,10.0,10.0,10.0,10.0,3.6363636363636402,32.0,0.0,57.0,1.0,-1.0,1.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0
CS_3__341__3,CS_3__341,2018-04-08 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,2018-07-06 00:00:00,Autoscout,49.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,7.0,7.0,7.0,1.0,1.0,3.0,7.0,7.0,7.0,10.0,3.0,8.0,8.0,8.0,6.0,6.0,6.0,9.0,9.0,9.0,7.0,7,7.0,4.0,4.0,4.0,5.454545454545453,37.0,0.0,52.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0
CS_4__342__3,CS_4__342,2018-04-10 00:00:00,2018-05-12 00:00:00,2018-05-12 00:00:00,2018-07-06 00:00:00,Payback,391.0,1.0,1.0,4.0,5.0,5.0,2.0,5.0,9.0,9.0,9.0,1.0,1.0,8.0,8.0,8.0,8.0,10.0,1.0,8.0,8.0,8.0,1.0,1.0,1.0,9.0,8.0,8.0,10.0,10,10.0,9.0,8.0,8.0,5.454545454545453,32.0,0.0,55.0,1.0,0.0,-3.0,-2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
CS_5__343__3,CS_5__343,2018-04-15 00:00:00,2018-05-15 00:00:00,2018-05-15 00:00:00,2018-07-10 00:00:00,Facebook,170.0,1.0,1.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,1.0,1.0,5.0,5.0,6.0,6.0,7.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,7.0,7.0,7.0,3.0,5,5.0,3.0,3.0,3.0,5.454545454545453,30.0,0.0,56.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
SO_1__344__3,SO_1__344,2018-03-23 00:00:00,2018-04-23 00:00:00,2018-06-04 00:00:00,2018-07-02 00:00:00,Spotify,505.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,7.0,8.0,8.0,5.0,6.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,10.0,10,10.0,10.0,10.0,10.0,3.6363636363636402,31.0,42.0,28.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0
SO_3__346__3,SO_3__346,2018-03-30 00:00:00,2018-04-30 00:00:00,2018-06-03 00:00:00,2018-07-09 00:00:00,Sparkasse,495.0,1.0,1.0,4.0,3.0,2.0,4.0,5.0,8.0,9.0,7.0,1.0,10.0,8.0,10.0,10.0,9.0,10.0,8.0,3.0,5.0,6.0,3.0,1.0,3.0,9.0,9.0,9.0,10.0,10,10.0,10.0,10.0,10.0,5.454545454545453,31.0,34.0,36.0,-1.0,-1.0,2.0,0.0,3.0,1.0,-2.0,2.0,2.0,0.0,-1.0,1.0
SO_4__347__3,SO_4__347,2018-04-02 00:00:00,2018-05-02 00:00:00,2018-06-02 00:00:00,2018-07-05 00:00:00,Instagram,272.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,8.0,9.0,5.0,1.0,1.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,10,10.0,7.0,9.0,9.0,5.454545454545453,30.0,31.0,33.0,0.0,0.0,1.0,1.0,-2.0,1.0,-4.0,-5.0,-2.0,0.0,1.0,-1.0
SO_5__348__3,SO_5__348,2018-04-02 00:00:00,2018-05-02 00:00:00,2018-06-03 00:00:00,2018-07-09 00:00:00,Instagram,272.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,1.0,7.0,6.0,6.0,8.0,8.0,8.0,5.0,4.0,5.0,6.0,4.0,5.0,8.0,4.0,8.0,8.0,6,5.0,4.0,3.0,3.0,3.6363636363636402,30.0,32.0,36.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0,0.0,2.0,1.0
CR1__349__3,CR1__349,2018-03-23 00:00:00,2018-04-27 00:00:00,2018-06-25 00:00:00,2018-07-17 00:00:00,Sparkasse,495.0,1.0,1.0,3.0,3.0,4.0,2.0,8.0,7.0,8.0,8.0,1.0,1.0,5.0,7.0,8.0,9.0,8.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,6.0,3.0,3.0,8.0,8,8.0,7.0,6.0,7.0,5.454545454545453,35.0,59.0,22.0,0.0,1.0,-2.0,-1.0,-1.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0
SP2__350__3,SP2__350,2018-03-26 00:00:00,2018-04-30 00:00:00,2018-06-04 00:00:00,2018-07-18 00:00:00,Xing,606.0,1.0,1.0,4.0,3.0,3.0,4.0,5.0,8.0,8.0,8.0,1.0,1.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,7.0,7.0,6.0,8.0,8,7.0,6.0,6.0,6.0,5.454545454545453,35.0,35.0,44.0,-1.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
